Date,Count_,TotalLengthOfStay,Category,ObjectId
2014-02-01 00:00:00+00:00,297,5044,Single Adult Females,203
2014-02-01 00:00:00+00:00,101,1949,Single Youth 18 Under,204
2014-01-01 00:00:00+00:00,801,20706,Family Household Members,209
2014-01-01 00:00:00+00:00,986,18510,Single Adult Males,216
2014-01-01 00:00:00+00:00,298,5765,Single Adult Females,217
2014-01-01 00:00:00+00:00,106,2171,Single Youth 18 Under,218
2014-07-01 00:00:00+00:00,845,20008,Family Household Members,223
2014-07-01 00:00:00+00:00,1033,18206,Single Adult Males,230
2014-07-01 00:00:00+00:00,278,5179,Single Adult Females,231
2014-07-01 00:00:00+00:00,101,1899,Single Youth 18 Under,232
2014-06-01 00:00:00+00:00,816,19137,Family Household Members,237
2014-06-01 00:00:00+00:00,972,17456,Single Adult Males,244
2014-06-01 00:00:00+00:00,289,5082,Single Adult Females,245
2014-06-01 00:00:00+00:00,109,2001,Single Youth 18 Under,246
2015-06-01 00:00:00+00:00,879,19199,Family Household Members,255
2015-06-01 00:00:00+00:00,919,16214,Single Adult Males,262
2015-06-01 00:00:00+00:00,307,5097,Single Adult Females,263
2015-06-01 00:00:00+00:00,84,1393,Single Youth 18 Under,264
2015-03-01 00:00:00+00:00,824,19439,Family Household Members,269
2015-03-01 00:00:00+00:00,929,17376,Single Adult Males,276
2015-03-01 00:00:00+00:00,278,5308,Single Adult Females,277
2015-03-01 00:00:00+00:00,67,1177,Single Youth 18 Under,278
2015-05-01 00:00:00+00:00,739,18230,Family Household Members,283
2015-05-01 00:00:00+00:00,949,17035,Single Adult Males,290
2015-05-01 00:00:00+00:00,305,5236,Single Adult Females,291
2015-05-01 00:00:00+00:00,82,1459,Single Youth 18 Under,292
2015-11-01 00:00:00+00:00,933,22976,Family Household Members,297
2015-11-01 00:00:00+00:00,991,16846,Single Adult Males,304
2015-11-01 00:00:00+00:00,283,5276,Single Adult Females,305
2015-11-01 00:00:00+00:00,83,1397,Single Youth 18 Under,306
2015-10-01 00:00:00+00:00,1020,25956,Family Household Members,311
2015-10-01 00:00:00+00:00,1004,17719,Single Adult Males,318
2015-10-01 00:00:00+00:00,309,5210,Single Adult Females,319
2015-10-01 00:00:00+00:00,94,1610,Single Youth 18 Under,320
2015-09-01 00:00:00+00:00,986,23795,Family Household Members,325
2015-09-01 00:00:00+00:00,1010,17363,Single Adult Males,332
2015-09-01 00:00:00+00:00,294,5258,Single Adult Females,333
2015-09-01 00:00:00+00:00,81,1391,Single Youth 18 Under,334
2016-04-01 00:00:00+00:00,838,20809,Family Household Members,339
2016-04-01 00:00:00+00:00,996,17134,Single Adult Males,346
2016-04-01 00:00:00+00:00,291,4978,Single Adult Females,347
2016-04-01 00:00:00+00:00,66,1332,Single Youth 18 Under,348
2016-08-01 00:00:00+00:00,1093,25134,Family Household Members,353
2016-08-01 00:00:00+00:00,1028,17157,Single Adult Males,360
2016-08-01 00:00:00+00:00,317,5822,Single Adult Females,361
2016-08-01 00:00:00+00:00,87,1454,Single Youth 18 Under,362
2016-12-01 00:00:00+00:00,1238,30239,Family Household Members,367
2016-12-01 00:00:00+00:00,1004,17574,Single Adult Males,374
2016-12-01 00:00:00+00:00,285,5469,Single Adult Females,375
2016-12-01 00:00:00+00:00,80,1662,Single Youth 18 Under,376
2016-02-01 00:00:00+00:00,830,18860,Family Household Members,381
2016-02-01 00:00:00+00:00,934,16304,Single Adult Males,388
2016-02-01 00:00:00+00:00,276,5205,Single Adult Females,389
2016-02-01 00:00:00+00:00,68,1257,Single Youth 18 Under,390
2016-01-01 00:00:00+00:00,824,21496,Family Household Members,395
2016-05-01 00:00:00+00:00,877,21840,Family Household Members,401
2016-05-01 00:00:00+00:00,1012,17438,Single Adult Males,408
2016-05-01 00:00:00+00:00,284,5334,Single Adult Females,409
2016-05-01 00:00:00+00:00,71,1467,Single Youth 18 Under,410
2016-11-01 00:00:00+00:00,1145,27776,Family Household Members,417
2016-11-01 00:00:00+00:00,954,16452,Single Adult Males,424
2016-11-01 00:00:00+00:00,299,5062,Single Adult Females,425
2016-09-01 00:00:00+00:00,324,5445,Single Adult Females,426
2016-11-01 00:00:00+00:00,81,1575,Single Youth 18 Under,427
2016-10-01 00:00:00+00:00,1122,28907,Family Household Members,432
2016-10-01 00:00:00+00:00,1000,17271,Single Adult Males,439
2016-10-01 00:00:00+00:00,309,5353,Single Adult Females,440
2016-10-01 00:00:00+00:00,75,1560,Single Youth 18 Under,441
2016-09-01 00:00:00+00:00,1098,26382,Family Household Members,446
2016-09-01 00:00:00+00:00,1023,16753,Single Adult Males,453
2016-09-01 00:00:00+00:00,76,1499,Single Youth 18 Under,455
2016-01-01 00:00:00+00:00,987,17357,Single Adult Males,456
2016-01-01 00:00:00+00:00,299,5375,Single Adult Females,459
2016-01-01 00:00:00+00:00,66,1140,Single Youth 18 Under,462
2017-03-01 00:00:00+00:00,1208,30392,Family Household Members,463
2017-04-01 00:00:00+00:00,1245,31116,Family Household Members,470
2016-07-01 00:00:00+00:00,975,22868,Family Household Members,477
2017-03-01 00:00:00+00:00,976,17452,Single Adult Males,484
2017-03-01 00:00:00+00:00,309,5630,Single Adult Females,487
2017-03-01 00:00:00+00:00,58,1286,Single Youth 18 Under,490
2017-04-01 00:00:00+00:00,961,16654,Single Adult Males,491
2017-04-01 00:00:00+00:00,294,5448,Single Adult Females,494
2017-04-01 00:00:00+00:00,69,1358,Single Youth 18 Under,497
2016-07-01 00:00:00+00:00,968,16444,Single Adult Males,498
2016-07-01 00:00:00+00:00,328,5601,Single Adult Females,501
2016-07-01 00:00:00+00:00,82,1496,Single Youth 18 Under,504
2017-05-01 00:00:00+00:00,1303,35843,Family Household Members,505
2017-08-01 00:00:00+00:00,1384,38635,Family Household Members,512
2017-08-01 00:00:00+00:00,1007,16624,Single Adult Males,522
2017-08-01 00:00:00+00:00,320,5905,Single Adult Females,523
2017-08-01 00:00:00+00:00,76,1799,Single Youth 18 Under,524
2017-12-01 00:00:00+00:00,1304,34349,Family Household Members,529
2017-12-01 00:00:00+00:00,973,16872,Single Adult Males,536
2017-12-01 00:00:00+00:00,303,5543,Single Adult Females,537
2017-12-01 00:00:00+00:00,92,1845,Single Youth 18 Under,538
2017-02-01 00:00:00+00:00,1193,28569,Family Household Members,543
2017-05-01 00:00:00+00:00,1001,16815,Single Adult Males,551
2017-05-01 00:00:00+00:00,327,5510,Single Adult Females,553
2017-02-01 00:00:00+00:00,949,15832,Single Adult Males,554
2017-05-01 00:00:00+00:00,69,1556,Single Youth 18 Under,556
2017-02-01 00:00:00+00:00,280,4956,Single Adult Females,557
2016-06-01 00:00:00+00:00,881,20542,Family Household Members,558
2017-02-01 00:00:00+00:00,61,985,Single Youth 18 Under,560
2017-11-01 00:00:00+00:00,1346,33810,Family Household Members,571
2017-01-01 00:00:00+00:00,1209,31564,Family Household Members,575
2016-06-01 00:00:00+00:00,969,16480,Single Adult Males,579
2016-06-01 00:00:00+00:00,289,5226,Single Adult Females,582
2016-06-01 00:00:00+00:00,69,1381,Single Youth 18 Under,585
2017-11-01 00:00:00+00:00,1031,17014,Single Adult Males,592
2017-11-01 00:00:00+00:00,314,5646,Single Adult Females,596
2018-07-01 00:00:00+00:00,1005,16857,Single Adult Males,597
2017-01-01 00:00:00+00:00,1018,17953,Single Adult Males,598
2017-11-01 00:00:00+00:00,89,1622,Single Youth 18 Under,600
2018-07-01 00:00:00+00:00,329,5890,Single Adult Females,601
2017-01-01 00:00:00+00:00,304,5380,Single Adult Females,602
2016-03-01 00:00:00+00:00,881,20345,Family Household Members,603
2018-07-01 00:00:00+00:00,80,1763,Single Youth 18 Under,605
2017-01-01 00:00:00+00:00,54,1163,Single Youth 18 Under,606
2017-07-01 00:00:00+00:00,1415,36530,Family Household Members,620
2017-07-01 00:00:00+00:00,984,16228,Single Adult Males,627
2017-07-01 00:00:00+00:00,303,5593,Single Adult Females,628
2017-07-01 00:00:00+00:00,79,1761,Single Youth 18 Under,629
2017-06-01 00:00:00+00:00,1368,35516,Family Household Members,634
2017-06-01 00:00:00+00:00,991,15696,Single Adult Males,641
2017-06-01 00:00:00+00:00,302,5419,Single Adult Females,642
2017-06-01 00:00:00+00:00,78,1550,Single Youth 18 Under,643
2017-10-01 00:00:00+00:00,1394,36883,Family Household Members,646
2018-12-01 00:00:00+00:00,1612,42963,Family Household Members,647
2018-06-01 00:00:00+00:00,1433,36087,Family Household Members,658
2016-03-01 00:00:00+00:00,944,17304,Single Adult Males,659
2016-03-01 00:00:00+00:00,282,5277,Single Adult Females,662
2016-03-01 00:00:00+00:00,66,1285,Single Youth 18 Under,665
2018-12-01 00:00:00+00:00,1056,18364,Single Adult Males,669
2018-12-01 00:00:00+00:00,310,5663,Single Adult Females,672
2018-12-01 00:00:00+00:00,86,1868,Single Youth 18 Under,675
2018-06-01 00:00:00+00:00,988,16232,Single Adult Males,679
2018-06-01 00:00:00+00:00,328,5459,Single Adult Females,681
2018-06-01 00:00:00+00:00,73,1632,Single Youth 18 Under,683
2018-02-01 00:00:00+00:00,1312,32085,Family Household Members,686
2018-03-01 00:00:00+00:00,1365,35958,Family Household Members,693
2018-02-01 00:00:00+00:00,950,15905,Single Adult Males,700
2018-02-01 00:00:00+00:00,318,5581,Single Adult Females,702
2018-02-01 00:00:00+00:00,60,1228,Single Youth 18 Under,704
2018-03-01 00:00:00+00:00,1021,17759,Single Adult Males,707
2018-03-01 00:00:00+00:00,317,6006,Single Adult Females,709
2018-03-01 00:00:00+00:00,66,1454,Single Youth 18 Under,711
2018-01-01 00:00:00+00:00,1323,34760,Family Household Members,714
2018-05-01 00:00:00+00:00,1441,38809,Family Household Members,720
2018-05-01 00:00:00+00:00,1025,17384,Single Adult Males,727
2018-05-01 00:00:00+00:00,315,5764,Single Adult Females,728
2018-05-01 00:00:00+00:00,71,1640,Single Youth 18 Under,729
2018-01-01 00:00:00+00:00,971,17693,Single Adult Males,738
2018-01-01 00:00:00+00:00,315,6092,Single Adult Females,739
2018-01-01 00:00:00+00:00,61,1372,Single Youth 18 Under,740
2018-07-01 00:00:00+00:00,1609,41387,Family Household Members,745
2017-10-01 00:00:00+00:00,1034,17649,Single Adult Males,754
2017-10-01 00:00:00+00:00,313,5792,Single Adult Females,755
2017-10-01 00:00:00+00:00,73,1708,Single Youth 18 Under,756
2017-09-01 00:00:00+00:00,1429,36100,Family Household Members,761
2017-09-01 00:00:00+00:00,1010,16799,Single Adult Males,768
2017-09-01 00:00:00+00:00,299,5694,Single Adult Females,769
2017-09-01 00:00:00+00:00,74,1537,Single Youth 18 Under,770
2018-04-01 00:00:00+00:00,1426,36181,Family Household Members,775
2018-04-01 00:00:00+00:00,1014,17121,Single Adult Males,782
2018-04-01 00:00:00+00:00,318,5945,Single Adult Females,783
2018-04-01 00:00:00+00:00,71,1475,Single Youth 18 Under,784
2018-08-01 00:00:00+00:00,1539,42654,Family Household Members,789
2018-08-01 00:00:00+00:00,1056,17400,Single Adult Males,796
2018-08-01 00:00:00+00:00,326,5875,Single Adult Females,797
2018-08-01 00:00:00+00:00,78,1707,Single Youth 18 Under,798
2019-04-01 00:00:00+00:00,311,5899,Single Adult Females,801
2019-04-01 00:00:00+00:00,54,1165,Single Youth 18 Under,802
2019-08-01 00:00:00+00:00,1705,47683,Family Household Members,807
2019-08-01 00:00:00+00:00,1022,17571,Single Adult Males,814
2019-08-01 00:00:00+00:00,356,6125,Single Adult Females,815
2019-08-01 00:00:00+00:00,65,1415,Single Youth 18 Under,816
2019-12-01 00:00:00+00:00,1896,52853,Family Household Members,822
2019-12-01 00:00:00+00:00,1093,19032,Single Adult Males,829
2019-12-01 00:00:00+00:00,310,6230,Single Adult Females,830
2019-12-01 00:00:00+00:00,75,1660,Single Youth 18 Under,831
2019-02-01 00:00:00+00:00,1617,39693,Family Household Members,836
2019-02-01 00:00:00+00:00,998,16893,Single Adult Males,843
2019-02-01 00:00:00+00:00,319,5621,Single Adult Females,844
2019-02-01 00:00:00+00:00,48,1013,Single Youth 18 Under,845
2019-01-01 00:00:00+00:00,1636,46134,Family Household Members,850
2019-05-01 00:00:00+00:00,1641,43534,Family Household Members,857
2019-05-01 00:00:00+00:00,1083,19115,Single Adult Males,864
2019-05-01 00:00:00+00:00,330,6117,Single Adult Females,865
2019-05-01 00:00:00+00:00,54,1265,Single Youth 18 Under,866
2019-11-01 00:00:00+00:00,1881,50586,Family Household Members,871
2019-11-01 00:00:00+00:00,1108,18413,Single Adult Males,878
2019-11-01 00:00:00+00:00,338,5997,Single Adult Females,879
2019-11-01 00:00:00+00:00,74,1506,Single Youth 18 Under,880
2019-10-01 00:00:00+00:00,1857,51575,Family Household Members,885
2019-10-01 00:00:00+00:00,1053,18823,Single Adult Males,892
2019-10-01 00:00:00+00:00,330,6177,Single Adult Females,893
2019-10-01 00:00:00+00:00,70,1524,Single Youth 18 Under,894
2019-09-01 00:00:00+00:00,1848,47533,Family Household Members,899
2020-06-01 00:00:00+00:00,863,15583,Single Adult Males,900
2020-06-01 00:00:00+00:00,274,5300,Single Adult Females,903
2020-06-01 00:00:00+00:00,56,1269,Single Youth 18 Under,906
2019-09-01 00:00:00+00:00,1042,17407,Single Adult Males,908
2019-09-01 00:00:00+00:00,342,5962,Single Adult Females,910
2019-09-01 00:00:00+00:00,73,1491,Single Youth 18 Under,912
2020-03-01 00:00:00+00:00,1850,52691,Family Household Members,917
2020-03-01 00:00:00+00:00,1129,19231,Single Adult Males,925
2020-03-01 00:00:00+00:00,348,6403,Single Adult Females,926
2020-03-01 00:00:00+00:00,50,1292,Single Youth 18 Under,927
2020-05-01 00:00:00+00:00,1771,51778,Family Household Members,932
2020-05-01 00:00:00+00:00,885,16654,Single Adult Males,939
2020-05-01 00:00:00+00:00,298,5565,Single Adult Females,940
2020-05-01 00:00:00+00:00,54,1290,Single Youth 18 Under,941
2020-11-01 00:00:00+00:00,1602,43011,Family Household Members,946
2020-11-01 00:00:00+00:00,878,15972,Single Adult Males,953
2020-11-01 00:00:00+00:00,268,4585,Single Adult Females,954
2020-11-01 00:00:00+00:00,61,1481,Single Youth 18 Under,955
2020-04-01 00:00:00+00:00,1817,51205,Family Household Members,961
2020-04-01 00:00:00+00:00,996,17710,Single Adult Males,968
2020-04-01 00:00:00+00:00,299,5776,Single Adult Females,969
2020-04-01 00:00:00+00:00,50,1237,Single Youth 18 Under,970
2020-08-01 00:00:00+00:00,1803,49629,Family Household Members,975
2020-08-01 00:00:00+00:00,923,16398,Single Adult Males,982
2020-08-01 00:00:00+00:00,253,4987,Single Adult Females,983
2020-08-01 00:00:00+00:00,56,1419,Single Youth 18 Under,984
2020-12-01 00:00:00+00:00,1491,41344,Family Household Members,989
2020-12-01 00:00:00+00:00,880,16589,Single Adult Males,996
2020-12-01 00:00:00+00:00,275,5197,Single Adult Females,997
2020-12-01 00:00:00+00:00,64,1582,Single Youth 18 Under,998
2020-02-01 00:00:00+00:00,1887,50042,Family Household Members,1003
2020-02-01 00:00:00+00:00,1069,18223,Single Adult Males,1010
2020-02-01 00:00:00+00:00,332,5999,Single Adult Females,1011
2020-02-01 00:00:00+00:00,51,1221,Single Youth 18 Under,1012
2020-01-01 00:00:00+00:00,1948,53694,Family Household Members,1017
2020-01-01 00:00:00+00:00,1101,19512,Single Adult Males,1024
2020-01-01 00:00:00+00:00,330,6376,Single Adult Females,1025
2020-01-01 00:00:00+00:00,54,1234,Single Youth 18 Under,1026
2020-07-01 00:00:00+00:00,1823,51598,Family Household Members,1031
2020-07-01 00:00:00+00:00,885,16081,Single Adult Males,1038
2020-07-01 00:00:00+00:00,263,5315,Single Adult Females,1039
2020-07-01 00:00:00+00:00,50,1320,Single Youth 18 Under,1040
2020-06-01 00:00:00+00:00,1816,50257,Family Household Members,1045
2018-11-01 00:00:00+00:00,1568,40001,Family Household Members,1051
2019-01-01 00:00:00+00:00,1046,19079,Single Adult Males,1057
2019-01-01 00:00:00+00:00,332,6279,Single Adult Females,1058
2019-01-01 00:00:00+00:00,48,1126,Single Youth 18 Under,1059
2019-07-01 00:00:00+00:00,1734,44937,Family Household Members,1064
2019-07-01 00:00:00+00:00,1040,17866,Single Adult Males,1071
2019-07-01 00:00:00+00:00,342,6127,Single Adult Females,1072
2019-07-01 00:00:00+00:00,56,1354,Single Youth 18 Under,1073
2019-06-01 00:00:00+00:00,1642,43083,Family Household Members,1078
2019-06-01 00:00:00+00:00,1078,17769,Single Adult Males,1085
2019-06-01 00:00:00+00:00,328,5844,Single Adult Females,1086
2019-06-01 00:00:00+00:00,61,1268,Single Youth 18 Under,1087
2019-03-01 00:00:00+00:00,1593,42392,Family Household Members,1092
2019-03-01 00:00:00+00:00,1056,18628,Single Adult Males,1099
2019-03-01 00:00:00+00:00,322,5988,Single Adult Females,1100
2019-03-01 00:00:00+00:00,46,1150,Single Youth 18 Under,1101
2018-11-01 00:00:00+00:00,1030,18135,Single Adult Males,1108
2018-11-01 00:00:00+00:00,308,5697,Single Adult Females,1109
2018-11-01 00:00:00+00:00,86,1926,Single Youth 18 Under,1110
2018-10-01 00:00:00+00:00,1480,40464,Family Household Members,1115
2018-10-01 00:00:00+00:00,1031,18024,Single Adult Males,1122
2018-10-01 00:00:00+00:00,315,5692,Single Adult Females,1123
2018-10-01 00:00:00+00:00,85,1886,Single Youth 18 Under,1124
2018-09-01 00:00:00+00:00,1507,39055,Family Household Members,1129
2018-09-01 00:00:00+00:00,1050,16903,Single Adult Males,1136
2018-09-01 00:00:00+00:00,333,5581,Single Adult Females,1137
2018-09-01 00:00:00+00:00,85,1741,Single Youth 18 Under,1138
2019-04-01 00:00:00+00:00,1593,42341,Family Household Members,1143
2019-04-01 00:00:00+00:00,1085,18427,Single Adult Males,1150
2020-10-01 00:00:00+00:00,1663,47188,Family Household Members,1151
2020-10-01 00:00:00+00:00,923,16758,Single Adult Males,1158
2020-10-01 00:00:00+00:00,283,5034,Single Adult Females,1159
2020-10-01 00:00:00+00:00,60,1515,Single Youth 18 Under,1160
2020-09-01 00:00:00+00:00,1765,48095,Family Household Members,1165
2020-09-01 00:00:00+00:00,903,16136,Single Adult Males,1172
2020-09-01 00:00:00+00:00,273,4740,Single Adult Females,1173
2020-09-01 00:00:00+00:00,53,1332,Single Youth 18 Under,1174
2021-04-01 00:00:00+00:00,1380,37393,Family Household Members,1179
2021-04-01 00:00:00+00:00,343,6361,Single Adult Females,1186
2021-04-01 00:00:00+00:00,832,15531,Single Adult Males,1187
2021-04-01 00:00:00+00:00,52,1250,Single Youth 18 Under,1188
2021-08-01 00:00:00+00:00,1298,36040,Family Household Members,1193
2021-08-01 00:00:00+00:00,342,5438,Single Adult Females,1200
2021-08-01 00:00:00+00:00,906,15864,Single Adult Males,1201
2021-08-01 00:00:00+00:00,62,1564,Single Youth 18 Under,1202
2021-12-01 00:00:00+00:00,1361,35815,Family Household Members,1207
2021-12-01 00:00:00+00:00,345,6162,Single Adult Females,1214
2021-12-01 00:00:00+00:00,967,18349,Single Adult Males,1215
2021-12-01 00:00:00+00:00,68,1670,Single Youth 18 Under,1216
2021-02-01 00:00:00+00:00,1417,35421,Family Household Members,1221
2021-02-01 00:00:00+00:00,302,5982,Single Adult Females,1228
2021-02-01 00:00:00+00:00,804,15228,Single Adult Males,1229
2023-02-01 00:00:00+00:00,1093,18770,Single Adult Males,1230
2022-09-01 00:00:00+00:00,1432,37326,Family Household Members,1232
2021-02-01 00:00:00+00:00,48,1134,Single Youth 18 Under,1233
2021-01-01 00:00:00+00:00,1438,40763,Family Household Members,1238
2021-01-01 00:00:00+00:00,334,6067,Single Adult Females,1245
2021-01-01 00:00:00+00:00,860,16917,Single Adult Males,1246
2021-01-01 00:00:00+00:00,56,1423,Single Youth 18 Under,1247
2021-07-01 00:00:00+00:00,1289,35571,Family Household Members,1252
2022-03-01 00:00:00+00:00,358,6802,Single Adult Females,1256
2023-02-01 00:00:00+00:00,57,1248,Single Youth 18 Under,1257
2022-03-01 00:00:00+00:00,1040,21041,Single Adult Males,1258
2022-03-01 00:00:00+00:00,77,1731,Single Youth 18 Under,1261
2023-01-01 00:00:00+00:00,1592,43736,Family Household Members,1277
2021-11-01 00:00:00+00:00,1364,34370,Family Household Members,1280
2022-05-01 00:00:00+00:00,1318,35261,Family Household Members,1283
2022-09-01 00:00:00+00:00,355,6415,Single Adult Females,1286
2021-07-01 00:00:00+00:00,304,4887,Single Adult Females,1289
2022-09-01 00:00:00+00:00,965,17703,Single Adult Males,1291
2021-07-01 00:00:00+00:00,866,15432,Single Adult Males,1294
2022-09-01 00:00:00+00:00,63,1587,Single Youth 18 Under,1296
2021-07-01 00:00:00+00:00,60,1362,Single Youth 18 Under,1299
2023-01-01 00:00:00+00:00,351,6231,Single Adult Females,1312
2021-11-01 00:00:00+00:00,351,6367,Single Adult Females,1315
2023-01-01 00:00:00+00:00,1104,20611,Single Adult Males,1317
2022-05-01 00:00:00+00:00,367,6223,Single Adult Females,1318
2021-11-01 00:00:00+00:00,938,17959,Single Adult Males,1320
2023-04-01 00:00:00+00:00,1530,41407,Family Household Members,1321
2023-01-01 00:00:00+00:00,62,1550,Single Youth 18 Under,1322
2022-05-01 00:00:00+00:00,1007,18320,Single Adult Males,1323
2021-06-01 00:00:00+00:00,1299,33941,Family Household Members,1324
2021-11-01 00:00:00+00:00,69,1548,Single Youth 18 Under,1325
2022-05-01 00:00:00+00:00,62,1516,Single Youth 18 Under,1328
2023-04-01 00:00:00+00:00,371,6606,Single Adult Females,1348
2023-07-01 00:00:00+00:00,1527,42070,Family Household Members,1349
2021-10-01 00:00:00+00:00,1309,34979,Family Household Members,1352
2023-04-01 00:00:00+00:00,1053,18500,Single Adult Males,1353
2022-11-01 00:00:00+00:00,1579,40771,Family Household Members,1355
2023-04-01 00:00:00+00:00,51,1298,Single Youth 18 Under,1358
2021-06-01 00:00:00+00:00,329,5395,Single Adult Females,1361
2021-06-01 00:00:00+00:00,834,15044,Single Adult Males,1366
2021-06-01 00:00:00+00:00,53,1266,Single Youth 18 Under,1371
2023-08-01 00:00:00+00:00,1519,41958,Family Household Members,1383
2023-07-01 00:00:00+00:00,402,7321,Single Adult Females,1384
2021-10-01 00:00:00+00:00,366,6457,Single Adult Females,1387
2023-07-01 00:00:00+00:00,1072,18447,Single Adult Males,1389
2022-11-01 00:00:00+00:00,332,5930,Single Adult Females,1390
2021-10-01 00:00:00+00:00,947,17394,Single Adult Males,1392
2023-07-01 00:00:00+00:00,61,1556,Single Youth 18 Under,1394
2022-11-01 00:00:00+00:00,1053,18776,Single Adult Males,1395
2021-03-01 00:00:00+00:00,1406,39425,Family Household Members,1396
2021-10-01 00:00:00+00:00,63,1689,Single Youth 18 Under,1397
2022-11-01 00:00:00+00:00,69,1639,Single Youth 18 Under,1400
2023-08-01 00:00:00+00:00,415,7793,Single Adult Females,1418
2023-06-01 00:00:00+00:00,1524,40995,Family Household Members,1419
2021-09-01 00:00:00+00:00,1315,34686,Family Household Members,1422
2023-08-01 00:00:00+00:00,1052,18738,Single Adult Males,1423
2022-10-01 00:00:00+00:00,1420,40769,Family Household Members,1425
2023-08-01 00:00:00+00:00,65,1723,Single Youth 18 Under,1428
2021-03-01 00:00:00+00:00,345,7099,Single Adult Females,1431
2021-03-01 00:00:00+00:00,860,17117,Single Adult Males,1436
2021-03-01 00:00:00+00:00,46,1257,Single Youth 18 Under,1441
2023-06-01 00:00:00+00:00,407,6642,Single Adult Females,1452
2023-02-01 00:00:00+00:00,1563,39255,Family Household Members,1455
2023-06-01 00:00:00+00:00,1079,17853,Single Adult Males,1457
2022-10-01 00:00:00+00:00,331,6510,Single Adult Females,1458
2021-09-01 00:00:00+00:00,358,5915,Single Adult Females,1459
2023-06-01 00:00:00+00:00,59,1382,Single Youth 18 Under,1462
2022-10-01 00:00:00+00:00,1012,18952,Single Adult Males,1463
2021-09-01 00:00:00+00:00,910,16155,Single Adult Males,1464
2021-05-01 00:00:00+00:00,1347,36035,Family Household Members,1466
